seed,query,total_reward,recommendations,clicks,click_ratio,epsilon,datetime,loss
0,SK이노베이션,0.6,36,0,0.0,0.7183288830986236,2025-06-12T20:24:01.082209,28.13775634765625
0,SK이노베이션,4.071000000000001,42,3,0.07142857142857142,0.7147372386831305,2025-06-12T20:24:01.107066,5.722225189208984
0,SK이노베이션,2.732,48,2,0.041666666666666664,0.7111635524897149,2025-06-12T20:24:01.132426,12.065815925598145
0,SK이노베이션,2.7200000000000006,54,2,0.037037037037037035,0.7076077347272662,2025-06-12T20:24:01.158404,24.253747940063477
0,SK이노베이션,1.6350000000000005,60,1,0.016666666666666666,0.7040696960536299,2025-06-12T20:24:01.184351,14.583843231201172
0,SK이노베이션,3.9820000000000007,6,3,0.5,0.7005493475733617,2025-06-12T20:24:01.209400,37.70328140258789
0,SK이노베이션,3.744,12,3,0.25,0.697046600835495,2025-06-12T20:24:01.234894,18.459863662719727
0,SK이노베이션,0.6,18,0,0.0,0.6935613678313175,2025-06-12T20:24:01.260135,19.434629440307617
0,SK이노베이션,2.632,24,2,0.08333333333333333,0.6900935609921609,2025-06-12T20:24:01.286705,18.413530349731445
0,SK이노베이션,2.642,30,2,0.06666666666666667,0.6866430931872001,2025-06-12T20:24:01.312573,32.96120071411133
0,SK이노베이션,4.768000000000001,36,4,0.1111111111111111,0.6832098777212641,2025-06-12T20:24:01.338340,28.009601593017578
0,SK이노베이션,2.6450000000000005,42,2,0.047619047619047616,0.6797938283326578,2025-06-12T20:24:01.364905,51.907676696777344
0,SK이노베이션,1.58,48,1,0.020833333333333332,0.6763948591909945,2025-06-12T20:24:01.390672,40.095542907714844
0,SK이노베이션,1.6840000000000004,54,1,0.018518518518518517,0.6730128848950395,2025-06-12T20:24:01.416680,25.191696166992188
0,SK이노베이션,3.8249999999999997,60,3,0.05,0.6696478204705644,2025-06-12T20:24:01.441424,33.96491622924805
0,SK이노베이션,3.95,6,3,0.5,0.6662995813682115,2025-06-12T20:24:01.466245,40.09308624267578
0,SK이노베이션,2.6410000000000005,12,2,0.16666666666666666,0.6629680834613705,2025-06-12T20:24:01.490807,19.504667282104492
0,SK이노베이션,3.9290000000000003,18,3,0.16666666666666666,0.6596532430440636,2025-06-12T20:24:01.516210,34.3836555480957
0,SK이노베이션,4.787,24,4,0.16666666666666666,0.6563549768288433,2025-06-12T20:24:01.542032,58.948299407958984
0,SK이노베이션,3.803,30,3,0.1,0.653073201944699,2025-06-12T20:24:01.568094,33.25981140136719
0,SK이노베이션,0.6,36,0,0.0,0.6498078359349755,2025-06-12T20:24:01.593774,33.368446350097656
0,SK이노베이션,0.6,42,0,0.0,0.6465587967553006,2025-06-12T20:24:01.619477,32.388065338134766
0,SK이노베이션,2.7830000000000004,48,2,0.041666666666666664,0.6433260027715241,2025-06-12T20:24:01.645864,43.45100402832031
0,SK이노베이션,3.813,54,3,0.05555555555555555,0.6401093727576664,2025-06-12T20:24:01.671620,55.410892486572266
0,SK이노베이션,3.6400000000000006,60,3,0.05,0.6369088258938781,2025-06-12T20:24:01.696843,69.89839172363281
0,SK이노베이션,2.6620000000000004,6,2,0.3333333333333333,0.6337242817644086,2025-06-12T20:24:01.720850,43.509796142578125
0,SK이노베이션,1.6420000000000003,12,1,0.08333333333333333,0.6305556603555866,2025-06-12T20:24:01.747962,45.118080139160156
0,SK이노베이션,0.6,18,0,0.0,0.6274028820538087,2025-06-12T20:24:01.773850,61.322113037109375
0,SK이노베이션,5.263,24,4,0.16666666666666666,0.6242658676435396,2025-06-12T20:24:01.798978,20.056396484375
0,SK이노베이션,0.6,30,0,0.0,0.6211445383053219,2025-06-12T20:24:01.825789,46.6339111328125
0,SK이노베이션,3.7600000000000002,36,3,0.08333333333333333,0.6180388156137953,2025-06-12T20:24:01.851656,92.12686157226562
0,SK이노베이션,2.8550000000000004,42,2,0.047619047619047616,0.6149486215357263,2025-06-12T20:24:01.878545,41.657005310058594
0,SK이노베이션,1.665,48,1,0.020833333333333332,0.6118738784280476,2025-06-12T20:24:01.906204,77.55469512939453
0,SK이노베이션,1.6910000000000003,54,1,0.018518518518518517,0.6088145090359074,2025-06-12T20:24:01.932553,101.98712921142578
0,SK이노베이션,2.5900000000000003,60,2,0.03333333333333333,0.6057704364907278,2025-06-12T20:24:01.958333,75.50932312011719
